500,1.03,0.31,7.36
1000,4.44,1.27,8.38
1500,10.09,2.92,9.84
2000,17.87,5.2,11.65
2500,27.99,8.11,14.25
3000,40.92,12.01,17.58
3500,55.1,15.91,20.94
4000,72.92,21.18,25.67
4500,91.18,26.58,30.25
5000,114.09,33.02,35.44
